Month,Metric,count,NSize,Value
April,Entry,6977,82956,0.084104829
April,Exit,7331,82956,0.088372149
April,Net Cumulative,-354,82956,-0.004267322
December,Entry,2968,82745,0.035869237
December,Exit,3074,82745,0.037150282
December,Net Cumulative,-106,82745,-0.001281044
February,Entry,5619,82956,0.067734703
February,Exit,5183,82956,0.062478904
February,Net Cumulative,436,82956,0.005255798
January,Entry,4363,82956,0.052594148
January,Exit,4183,82956,0.050424322
January,Net Cumulative,180,82956,0.002169825
March,Entry,6377,82956,0.076872073
March,Exit,6314,82956,0.076112635
March,Net Cumulative,63,82956,0.000759439
May,Entry,7558,82956,0.091108538
May,Exit,8261,82956,0.099582911
May,Net Cumulative,-703,82956,-0.008474372
November,Entry,2427,81797,0.029671015
November,Exit,2239,81797,0.027372641
November,Net Cumulative,188,81797,0.002298373
October,Entry,1708,79173,0.021573011
October,Exit,1260,79173,0.015914517
October,Net Cumulative,448,79173,0.005658495
